year released,artist_name,artist_ID,album_ID,track_name,track_id,popularity,key,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,artist_genre
2011,Grouplove,3kVUvbeRdcrqQ3oHk5hPdx,3oylWMc9TTC6Nx4I6U3axc,Tongue Tied,0GO8y8jQk1PkHzS31d699N,81,3.0,1.0,0.00847,0.56,0.9359999999999999,0.0,0.161,-5.835,0.0439,112.96,4.0,"['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']"
2011,Midnight Oil,72KyoXzp0NOQij6OcmZUxk,4C3raKL0dzfTitM3YtqN1S,Forgotten Years - 2011 Remaster,6PrbbxJFuwDUUcgEjZW0jr,47,11.0,0.0,0.0149,0.49700000000000005,0.9640000000000001,2.07e-06,0.11900000000000001,-2.653,0.0703,152.178,4.0,"['australian alternative rock', 'australian rock', 'dance rock', 'rock']"
2011,Christina Perri,7H55rcKCfwqkyDFH9wpKM6,15yvc643iYfQtb6zh9NEJo,A Thousand Years,6lanRgr6wXibZr8KgzXxBl,80,10.0,1.0,0.309,0.42100000000000004,0.40700000000000003,0.0009609999999999999,0.11,-7.445,0.0267,139.028,3.0,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
2011,Anthem Lights,7kwEvDE8e7EBGKh5bLczqQ,4iyn5H88RVqMJcbuCygfkw,Best of 2011: Just the Way You Are / For the First Time / Someone Like You / Superbass / Grenade / Without You,65bcYKY0QzlXILxVuWspdT,49,4.0,1.0,0.741,0.418,0.34299999999999997,0.0,0.113,-7.492000000000001,0.0339,121.805,4.0,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']"
2011,Foster The People,7gP3bB2nilZXLfPHJhMdvc,7Kmmw7Z5D2UD5MVwdm10sT,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,83,5.0,0.0,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,4.0,"['indie pop', 'indietronica', 'modern alternative rock', 'modern rock', 'pop', 'rock']"
2011,Schoolgirl Byebye,6kfcndVsu8F9Y5gL5xc717,5gWxh24iphqQ8WDh8MBMfe,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,20,9.0,1.0,0.9690000000000001,0.314,0.0855,0.795,0.16,-15.775,0.0342,69.893,3.0,"['chinese indie', 'sinogaze', 'southern china indie']"
2011,Gotye,2AsusXITU8P25dlRNhcAbG,1HjSyGjmLNjRAKgT9t1cna,Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,76,0.0,1.0,0.591,0.8640000000000001,0.495,0.000133,0.0992,-7.0360000000000005,0.037000000000000005,129.062,4.0,['australian pop']
2011,Banc Champagne,7gSocE8DgBdhGoYCw3Tlug,59Gi0M71OqZWV0fJ01Z5QM,New Year 2021,0QdTYExlsPJxj1lkPVwNMg,36,4.0,0.0,0.242,0.7240000000000001,0.466,0.0134,0.102,-9.26,0.16399999999999998,89.92200000000001,4.0,['NaN']
2011,Gym Class Heroes,4IJczjB0fJ04gs4uvP0Fli,2mumCpGmuE9iDeOvMx6XrB,Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz,81,9.0,1.0,0.0319,0.6459999999999999,0.795,0.0,0.267,-3.293,0.0976,89.99,4.0,"['dance pop', 'pop rap']"
2011,Queen,1dfeR4HaWDbWqFHLkxsg1d,6QYnikkyKvjmFtTiZVeCW7,One Year Of Love - Remastered 2011,59rzNNiQISFeH3ktzhyOjr,30,11.0,0.0,0.281,0.588,0.364,0.0006309999999999999,0.35600000000000004,-8.542,0.0258,110.986,3.0,"['classic rock', 'glam rock', 'rock']"
2011,Adele,4dpARuHxo51G3z768sgnrY,5duyQokC4FMcWPYTV9Gpf9,Someone Like You,3bNv3VuUOKgrf5hu3YcuRo,79,9.0,1.0,0.893,0.556,0.319,0.0,0.0996,-8.251,0.0281,135.187,4.0,"['british soul', 'pop', 'pop soul', 'uk pop']"
2011,The Kiboomers,1qKLikeNYpQFSsDAjg7HpI,73QnTQ25dx7JJuwpYkRnzu,The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,31,2.0,1.0,0.843,0.903,0.262,0.0,0.109,-12.527999999999999,0.081,95.098,4.0,"[""children's music"", 'music box']"
2011,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2P2Xwvh2xWXIZ1OWY9S9o5,Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,80,1.0,1.0,0.127,0.789,0.858,0.0,0.349,-5.542000000000001,0.311,140.02200000000002,4.0,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']"
2011,Sugarland,0hYxQe3AK5jBPCr5MumLHD,1SB9SD66SM04dm8wZdLatY,"Tonight I'll Be Staying Here With You - Live From The New York State Fair, Syracuse/2011",66WngVv3wsuvS91H8v8BH4,23,10.0,1.0,0.33899999999999997,0.35700000000000004,0.932,0.00216,0.975,-3.253,0.0594,91.09899999999999,4.0,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
2011,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,0fhmJYVhW0e4i33pCLPA5i,Work Out,2wAJTrFhCnQyNSD3oUgTZO,79,2.0,1.0,0.0531,0.831,0.42700000000000005,0.0,0.307,-6.903,0.106,93.00399999999999,4.0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
2011,CAN,4l8xPGtl6DHR2uvunqrl8r,0bO4qU98i4vCpGqTElUZDQ,Oh Yeah - 2011 Remastered,4KvS1rrkhxHIw4uzD6b0Rn,24,0.0,1.0,0.0372,0.4,0.737,0.17800000000000002,0.0904,-11.437000000000001,0.0478,99.095,4.0,"['alternative rock', 'art rock', 'dance rock', 'dance-punk', 'experimental', 'experimental rock', 'krautrock', 'neo-psychedelic', 'post-punk', 'psychedelic rock', 'space rock']"
2011,Pitbull,0TnOYISbd1XYRBk9myaseg,4rG0MhkU6UojACJxkMHIXB,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",4QNpBfC0zvjKqPJcyqBy9W,80,8.0,1.0,0.191,0.6709999999999999,0.9390000000000001,0.0,0.298,-3.2060000000000004,0.161,129.024,4.0,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop dance', 'pop rap']"
2011,Sting,0Ty63ceoRnnJKVEYP0VQpk,0U4PSIvw4TzziBkjll63Mv,Fortress Around Your Heart - 2011 Remix,2sZbh9TpSkOUfY24ytf1VT,28,7.0,1.0,0.276,0.6679999999999999,0.546,0.000177,0.0661,-10.62,0.0273,120.38,4.0,"['permanent wave', 'soft rock', 'sophisti-pop']"
2011,Adele,4dpARuHxo51G3z768sgnrY,5duyQokC4FMcWPYTV9Gpf9,Rolling in the Deep,4OSBTYWVwsQhGLF9NHvIbR,76,8.0,1.0,0.138,0.73,0.769,0.0,0.0473,-5.114,0.0298,104.948,4.0,"['british soul', 'pop', 'pop soul', 'uk pop']"
2011,Anthem Lights,7kwEvDE8e7EBGKh5bLczqQ,00DpCtHn284WiPNunv1QG8,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,33,4.0,1.0,0.397,0.39,0.455,0.0,0.125,-4.247,0.0316,107.012,4.0,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']"
2011,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,6OfCOPtcPuhlAovGJ52uZO,Starships,1oHNvJVbFkexQc0BpQp7Y4,71,11.0,0.0,0.135,0.747,0.716,0.0,0.251,-2.457,0.075,125.008,4.0,"['dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'queens hip hop']"
2011,Jason Crabb,61SFRZAmfyJhcffwR2Ijuq,07vJ5oSlWJd0e38lkjZgh5,I've Never Been This Homesick Before - Live,3rrzDXS5Z4g7jnu4vt03q9,27,2.0,1.0,0.008140000000000001,0.509,0.7859999999999999,2.2e-06,0.86,-7.23,0.0661,147.023,4.0,['southern gospel']
2011,M83,63MQldklfxkjYDoUE4Tppz,6R0ynY7RF20ofs9GJR5TXR,Midnight City,1eyzqe2QqGZUmfcPZtrIyt,71,11.0,0.0,0.0161,0.526,0.7120000000000001,0.0,0.179,-6.525,0.0356,105.009,4.0,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']"
2011,Eagles,0ECwFtbIWEVNwjlrfc6xoL,4QxtDUU3U7gCCyT9Lm3bg5,Funky New Year - 2013 Remaster,7tJS1cjSD1P8bodNGblYiK,25,9.0,1.0,0.0544,0.657,0.5379999999999999,0.0343,0.332,-10.34,0.0591,90.81,4.0,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
2011,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,5dtw6CoMhbrSj01YUvdQOF,Springsteen,05ZACkzW8YbRq3eFgIfSNB,72,2.0,1.0,0.1,0.6920000000000001,0.809,9.77e-05,0.185,-5.935,0.0255,104.023,4.0,"['contemporary country', 'country', 'country road', 'modern country rock']"
2011,Sting,0Ty63ceoRnnJKVEYP0VQpk,0U4PSIvw4TzziBkjll63Mv,If You Love Somebody Set Them Free - 2011 Remix,1UTQYxKCXGm0S2PeUWL1bL,30,9.0,0.0,0.102,0.623,0.845,0.000729,0.0697,-7.907,0.0268,122.681,4.0,"['permanent wave', 'soft rock', 'sophisti-pop']"
