genres,GenresGroup,length
dark trap,trap,9
dark wave,other,9
deathcore,metal,9
downtempo,tempo,9
dream pop,pop,9
dutch edm,edm,9
dutch pop,pop,9
eurodance,dance,9
folk punk,folk,9
folk rock,rock,9
francoton,other,9
freakbeat,beat,9
freestyle,rap,9
funk rock,rock,9
futurepop,pop,9
gauze pop,pop,9
glam rock,rock,9
hard rock,rock,9
hardstyle,other,9
hip house,house,9
hollywood,other,9
idol rock,rock,9
indie pop,pop,9
indie r&b,indie,9
irish pop,pop,9
jazz funk,jazz,9
j-poprock,pop,9
jumpstyle,other,9
kiwi rock,rock,9
krautrock,rock,9
latin pop,pop,9
lds youth,other,9
lo-fi emo,emo,9
metalcore,metal,9
music box,other,9
noise pop,pop,9
nz reggae,reggae,9
okc indie,indie,9
orchestra,other,9
pop dance,pop,9
pop house,pop,9
post-punk,punk,9
post-rock,rock,9
power pop,pop,9
protopunk,punk,9
rap metal,rap,9
re:techno,techno,9
reggaeton,reggae,9
scandipop,pop,9
scorecore,score,9
slc indie,indie,9
soft rock,rock,9
speedcore,other,9
steampunk,punk,9
stomp pop,pop,9
surf punk,punk,9
swiss pop,pop,9
tamil pop,pop,9
thai rock,rock,9
trap soul,trap,9
viral pop,pop,9
viral rap,rap,9
wrestling,other,9
afroswing,afro,9
aggrotech,other,9
anti-folk,folk,9
austindie,indie,9
austropop,pop,9
bass trap,trap,9
bluegrass,other,9
breakbeat,beat,9
candy pop,pop,9
chill r&b,r&b,9
chillstep,chill,9
chillwave,chill,9
classical,classical,9
cyberpunk,punk,9
dance pop,pop,9
dancehall,dance,9
dark trap,trap,9
downtempo,tempo,9
dubsteppe,other,9
dutch edm,edm,9
dutch pop,pop,9
eurodance,dance,9
folk punk,folk,9
francoton,other,9
futurepop,pop,9
gauze pop,pop,9
geek rock,rock,9
german oi,german,9
glam punk,punk,9
glam rock,rock,9
glee club,other,9
hardstyle,other,9
hip house,house,9
hollywood,other,9
idol rock,rock,9
indie pop,pop,9
indie r&b,indie,9
irish pop,pop,9
jazz funk,jazz,9
j-poprock,pop,9
jumpstyle,other,9
lo-fi vgm,other,9
melodipop,pop,9
metalcore,metal,9
minecraft,other,9
nisiotika,other,9
noise pop,pop,9
nz reggae,reggae,9
pop dance,pop,9
pop house,pop,9
reggaeton,reggae,9
scandipop,pop,9
scorecore,score,9
sertanejo,other,9
slow game,other,9
soft rock,rock,9
soul flow,soul,9
thai folk,folk,9
thai idol,other,9
uk reggae,reggae,9
vapor pop,pop,9
viral pop,pop,9
viral rap,rap,9
art rock,rock,8
atl trap,trap,8
big band,jazz,8
big beat,beat,8
big room,other,8
boom bap,other,8
boy band,other,8
chiptune,other,8
classify,other,8
deep ccm,religious,8
desi pop,pop,8
easycore,other,8
ectofolk,folk,8
etherpop,pop,8
folk-pop,pop,8
hands up,other,8
hard bop,other,8
hyperpop,pop,8
jam band,other,8
jamgrass,other,8
jazz pop,pop,8
la indie,indie,8
mandopop,pop,8
meme rap,rap,8
neo kyma,other,8
neo soul,soul,8
nerdcore,other,8
new beat,beat,8
new rave,other,8
new wave,other,8
nu disco,disco,8
nu metal,metal,8
operetta,classical,8
pop folk,pop,8
pop punk,pop,8
pop rock,pop,8
pop soul,pop,8
psychill,psych,8
pub rock,rock,8
rap rock,rock,8
rawstyle,other,8
rebetiko,other,8
scam rap,rap,8
schlager,other,8
shamanic,other,8
shoegaze,other,8
sinogaze,other,8
sky room,other,8
slowcore,other,8
souldies,soul,8
speedrun,other,8
synthpop,pop,8
teen pop,pop,8
thai pop,pop,8
trip hop,other,8
tropical,other,8
uk dance,dance,8
uk funky,funk,8
uk house,house,8
vocaloid,other,8
xtra raw,other,8
arab pop,pop,8
art punk,punk,8
art rock,rock,8
atl trap,trap,8
balearic,other,8
bardcore,other,8
basshall,other,8
bassline,other,8
big band,jazz,8
big beat,beat,8
big room,other,8
bouzouki,other,8
boy band,other,8
broadway,other,8
cali rap,rap,8
chillhop,chill,8
chip hop,hip hop,8
city pop,pop,8
classify,other,8
deep ccm,religious,8
deep dnb,other,8
desi pop,pop,8
discofox,disco,8
folk-pop,pop,8
hands up,other,8
hopebeat,beat,8
jam band,other,8
jawaiian,other,8
meme rap,rap,8
neo soul,soul,8
nerdcore,other,8
new wave,other,8
operetta,classical,8
pop rock,pop,8
pop soul,pop,8
rap rock,rock,8
rawstyle,other,8
speedrun,other,8
thai pop,pop,8
uk dance,dance,8
uk drill,other,8
uk house,house,8
vocaloid,other,8
afropop,pop,7
art pop,pop,7
bow pop,pop,7
britpop,pop,7
brostep,other,7
country,country,7
dfw rap,rap,7
dmv rap,rap,7
dong-yo,other,7
doo-wop,other,7
electra,eletronic,7
electro,eletronic,7
emo rap,rap,7
entehno,other,7
epicore,other,7
europop,pop,7
g-house,house,7
gymcore,other,7
healing,other,7
hip hop,hip hop,7
hip pop,pop,7
hiplife,other,7
j-metal,metal,7
j-pixie,other,7
jump up,other,7
jumptek,other,7
k-indie,indie,7
klezmer,other,7
neofolk,folk,7
new age,other,7
nu gaze,other,7
nu jazz,jazz,7
nursery,other,7
nyc pop,pop,7
nyc rap,rap,7
orgcore,other,7
otacore,other,7
pop edm,pop,7
pop emo,pop,7
pop r&b,pop,7
pop rap,pop,7
popgaze,pop,7
popping,pop,7
redneck,other,7
sad rap,rap,7
schranz,other,7
screamo,other,7
traprun,trap,7
worship,religious,7
zouglou,other,7
afropop,pop,7
ambient,ambient,7
art pop,pop,7
bachata,other,7
baroque,other,7
bhangra,other,7
bow pop,pop,7
britpop,pop,7
brostep,other,7
cartoon,other,7
chanson,other,7
chutney,other,7
circuit,other,7
country,country,7
cubaton,other,7
dfw rap,rap,7
dmv rap,rap,7
dubstep,other,7
electro,eletronic,7
emo rap,rap,7
epicore,other,7
europop,pop,7
euroska,other,7
full on,other,7
gymcore,other,7
hip hop,hip hop,7
hip pop,pop,7
k-indie,indie,7
lullaby,other,7
new age,other,7
nyc rap,rap,7
otacore,other,7
pop edm,pop,7
pop r&b,pop,7
pop rap,pop,7
popping,pop,7
redneck,other,7
sad rap,rap,7
worship,religious,7
azonto,afro,6
celtic,other,6
dreamo,other,6
g funk,funk,6
ghazal,other,6
glitch,other,6
grunge,other,6
j-rock,rock,6
kaneka,other,6
k-rock,rock,6
la pop,pop,6
lilith,other,6
lounge,other,6
mashup,other,6
motown,other,6
nu age,other,6
nwobhm,other,6
nz pop,pop,6
pagode,other,6
pirate,other,6
reggae,reggae,6
shanty,shanty,6
slayer,other,6
trance,other,6
uk pop,pop,6
azonto,other,6
batida,other,6
bitpop,pop,6
boogie,other,6
celtic,other,6
disney,other,6
funana,other,6
g funk,funk,6
j-core,other,6
kirtan,other,6
la pop,pop,6
nz pop,pop,6
papuri,other,6
reggae,reggae,6
shanty,shanty,6
shonen,anime,6
trance,other,6
uk pop,pop,6
bebop,other,5
blues,blues,5
cello,instrumental,5
comic,other,5
crunk,other,5
disco,disco,5
drift,other,5
drill,other,5
drone,other,5
filmi,other,5
focus,other,5
gabba,other,5
grime,other,5
house,house,5
hyphy,other,5
j-pop,pop,5
k-pop,pop,5
k-rap,rap,5
laiko,other,5
latin,latin,5
metal,metal,5
ninja,other,5
phonk,other,5
pixie,other,5
quran,other,5
rumba,other,5
salsa,other,5
samba,other,5
sleep,other,5
strut,other,5
swing,other,5
theme,other,5
water,other,5
anime,anime,5
banjo,other,5
beats,beat,5
bebop,other,5
bmore,other,5
comic,other,5
c-pop,pop,5
crunk,other,5
disco,disco,5
drift,other,5
filmi,other,5
gabba,other,5
house,house,5
j-pop,pop,5
k-pop,pop,5
k-rap,rap,5
laiko,other,5
latin,latin,5
metal,metal,5
ninja,other,5
sleep,other,5
sound,other,5
folk,folk,4
funk,funk,4
idol,other,4
jazz,jazz,4
pony,other,4
punk,punk,4
rock,rock,4
soca,other,4
soul,soul,4
sufi,other,4
tekk,other,4
trap,trap,4
zolo,other,4
bboy,other,4
fake,other,4
funk,funk,4
idol,other,4
soca,other,4
trap,trap,4
trot,other,4
ukhc,other,4
yaoi,anime,4
yoga,yoga,4
ccm,religious,3
ebm,other,3
edm,edm,3
emo,emo,3
mpb,other,3
opm,other,3
pop,pop,3
r&b,r&b,3
rai,other,3
rap,rap,3
rif,other,3
ccm,religious,3
dub,other,3
edm,edm,3
emo,emo,3
NaN,unassigned,3
opm,other,3
pop,pop,3
rai,other,3
rap,rap,3
oi,other,2
oi,other,2
